file_name,text
1249120_44246595_105657955.wav,I have a feeling like my whole body is complaining
1249120_44246595_107248522.wav,I noticed an important increase in my vision when I try to look at things up close
1249120_44246595_101823153.wav,I feel pain in my right shoulder after the tennis match
1249120_44246595_89466082.wav,I often get a stomach ache after I eat I haven't been able to pinpoint which foods may be the trigger
1249120_44246595_92462780.wav,he was discovered to have an open wound
1249120_44259428_100443017.wav,the pain in my
1249120_44246595_95208403.wav,I can't stand with this horrible feeling in my stomach
1249120_44246595_89680770.wav,I don't have the energy to do the things that I used to
1249120_44246595_92310242.wav,I wake up at night feeling cold
1249120_44246595_76562955.wav,when I go to Stan my head starts swirling
1249120_44246595_108705425.wav,I have a foot ache although I don't walk a lot
1249120_44246595_95549576.wav,I have issues with my skin
1249120_44259428_105786249.wav,I feel about this location in my shopping list
1249120_44246595_85567147.wav,when I get up I see my skin big
1249120_44259428_105662498.wav,I will play basketball yesterday I have a break and go
1249120_44246595_99457284.wav,when I eat I feel my stomach hurts
1249120_44259428_100658896.wav,a half of the lady in my head
1249120_44246595_94621639.wav,I feel pain inside I do not know what it is
1249120_44246595_95437414.wav,I feel shoulder pain and intervals of time
1249120_44246595_77258445.wav,I was playing soccer and I twisted my ankle
1249120_44246595_89098147.wav,I don't know why I'm constantly sad
1249120_44259428_102515958.wav,Google I have an injury from a spot in my
1249120_44246595_86895734.wav,surgical wound infections
1249120_44259428_103086666.wav,I can't get anything I have a pain in my shoulder
1249120_44259428_107372342.wav,I feel better
1249120_44259428_17428469.wav,I feel pain management
1249120_44259428_106881229.wav,Google everything but now I get to please I've been going on I should go away
1249120_44259428_34993210.wav,I feel very weak in my body
1249120_44259428_32632229.wav,I feel pain in my head when I wake up
1249120_44259428_19250068.wav,unlock phone number I can take money
1249120_44259428_34986999.wav,
1249120_44259428_20551217.wav,I have difficulty more in my neck
1249120_44259428_26033114.wav,disinfected wrong with me to drop
1249120_44259428_17570271.wav,87 by playing a few days ago and this time
1249120_44259428_107932197.wav,I cannot take my neck
1249120_44259428_108958575.wav,I'm feeling cold weather today is high
1249120_44259428_19293556.wav,play Beatles topic action I said I'm going
1249120_44259428_108477882.wav,play Hair Salon 782 North High School
1249120_44259428_31222743.wav,play magnificent
1249120_44259428_16757387.wav,play Fitness corporate profile Dubai in general
1249120_44259428_28102523.wav,
1249120_44259428_108575544.wav,my next step
1249120_44259428_25649773.wav,I can't believe it
1249120_44259428_50914735.wav,I feel
